scenario,trial,qber,key_rate,sifted_length,is_secure,timestamp
No Eavesdropping,1,0.0,0.482,482,True,2025-05-12T18:00:24.534105
No Eavesdropping,2,0.0,0.505,505,True,2025-05-12T18:00:24.904788
No Eavesdropping,3,0.0,0.478,478,True,2025-05-12T18:00:25.230484
No Eavesdropping,4,0.0,0.51,510,True,2025-05-12T18:00:25.550701
No Eavesdropping,5,0.0,0.485,485,True,2025-05-12T18:00:25.876914
No Eavesdropping,6,0.0,0.48,480,True,2025-05-12T18:00:26.206294
No Eavesdropping,7,0.0,0.519,519,True,2025-05-12T18:00:26.555771
No Eavesdropping,8,0.0,0.47,470,True,2025-05-12T18:00:26.876227
No Eavesdropping,9,0.0,0.489,489,True,2025-05-12T18:00:27.210619
No Eavesdropping,10,0.0,0.467,467,True,2025-05-12T18:00:27.625864
No Eavesdropping,11,0.0,0.493,493,True,2025-05-12T18:00:27.931760
No Eavesdropping,12,0.0,0.504,504,True,2025-05-12T18:00:28.246066
No Eavesdropping,13,0.0,0.508,508,True,2025-05-12T18:00:28.555041
No Eavesdropping,14,0.0,0.479,479,True,2025-05-12T18:00:28.864817
No Eavesdropping,15,0.0,0.454,454,True,2025-05-12T18:00:29.164559
No Eavesdropping,16,0.0,0.497,497,True,2025-05-12T18:00:29.470856
No Eavesdropping,17,0.0,0.501,501,True,2025-05-12T18:00:29.777816
No Eavesdropping,18,0.0,0.513,513,True,2025-05-12T18:00:30.082887
No Eavesdropping,19,0.0,0.505,505,True,2025-05-12T18:00:30.492832
No Eavesdropping,20,0.0,0.509,509,True,2025-05-12T18:00:30.795913
With Eavesdropping,1,0.42,0.503,503,False,2025-05-12T18:00:31.445483
With Eavesdropping,2,0.22,0.525,525,False,2025-05-12T18:00:32.093137
With Eavesdropping,3,0.26,0.502,502,False,2025-05-12T18:00:32.738556
With Eavesdropping,4,0.26,0.51,510,False,2025-05-12T18:00:33.586597
With Eavesdropping,5,0.3,0.488,488,False,2025-05-12T18:00:34.248605
With Eavesdropping,6,0.24,0.486,486,False,2025-05-12T18:00:34.894648
With Eavesdropping,7,0.2,0.512,512,False,2025-05-12T18:00:35.531718
With Eavesdropping,8,0.28,0.495,495,False,2025-05-12T18:00:36.324303
With Eavesdropping,9,0.36,0.503,503,False,2025-05-12T18:00:36.947887
With Eavesdropping,10,0.24,0.511,511,False,2025-05-12T18:00:37.595153
With Eavesdropping,11,0.22,0.524,524,False,2025-05-12T18:00:38.241076
With Eavesdropping,12,0.2,0.49,490,False,2025-05-12T18:00:39.025481
With Eavesdropping,13,0.18,0.508,508,False,2025-05-12T18:00:39.696050
With Eavesdropping,14,0.3,0.454,454,False,2025-05-12T18:00:40.332182
With Eavesdropping,15,0.22,0.496,496,False,2025-05-12T18:00:41.019704
With Eavesdropping,16,0.22,0.493,493,False,2025-05-12T18:00:41.662748
With Eavesdropping,17,0.28,0.506,506,False,2025-05-12T18:00:42.428809
With Eavesdropping,18,0.2,0.549,549,False,2025-05-12T18:00:43.093221
With Eavesdropping,19,0.18,0.54,540,False,2025-05-12T18:00:43.737167
With Eavesdropping,20,0.16,0.507,507,False,2025-05-12T18:00:44.390670
