key_length,scenario,trial,qber,timestamp
100,no_eve,1,0.0,2025-05-12T17:46:39.883172
100,no_eve,2,0.0,2025-05-12T17:46:39.914375
100,no_eve,3,0.0,2025-05-12T17:46:39.950791
100,no_eve,4,0.0,2025-05-12T17:46:39.984110
100,no_eve,5,0.0,2025-05-12T17:46:40.016245
100,no_eve,6,0.0,2025-05-12T17:46:40.052736
100,no_eve,7,0.0,2025-05-12T17:46:40.086338
100,no_eve,8,0.0,2025-05-12T17:46:40.118494
100,no_eve,9,0.0,2025-05-12T17:46:40.151087
100,no_eve,10,0.0,2025-05-12T17:46:40.189373
100,no_eve,11,0.0,2025-05-12T17:46:40.223621
100,no_eve,12,0.0,2025-05-12T17:46:40.263531
100,no_eve,13,0.0,2025-05-12T17:46:40.305002
100,no_eve,14,0.0,2025-05-12T17:46:40.341590
100,no_eve,15,0.0,2025-05-12T17:46:40.376882
100,no_eve,16,0.0,2025-05-12T17:46:40.415438
100,no_eve,17,0.0,2025-05-12T17:46:40.450290
100,no_eve,18,0.0,2025-05-12T17:46:40.486279
100,no_eve,19,0.0,2025-05-12T17:46:40.523398
100,no_eve,20,0.0,2025-05-12T17:46:40.558510
100,with_eve,1,0.20833333333333334,2025-05-12T17:46:40.631158
100,with_eve,2,0.30434782608695654,2025-05-12T17:46:40.703888
100,with_eve,3,0.35714285714285715,2025-05-12T17:46:40.776352
100,with_eve,4,0.34615384615384615,2025-05-12T17:46:40.845853
100,with_eve,5,0.2916666666666667,2025-05-12T17:46:40.919658
100,with_eve,6,0.26666666666666666,2025-05-12T17:46:40.987573
100,with_eve,7,0.32,2025-05-12T17:46:41.057283
100,with_eve,8,0.17391304347826086,2025-05-12T17:46:41.128270
100,with_eve,9,0.25925925925925924,2025-05-12T17:46:41.195877
100,with_eve,10,0.16,2025-05-12T17:46:41.271119
100,with_eve,11,0.28,2025-05-12T17:46:41.342960
100,with_eve,12,0.15384615384615385,2025-05-12T17:46:41.419561
100,with_eve,13,0.2,2025-05-12T17:46:41.493282
100,with_eve,14,0.18181818181818182,2025-05-12T17:46:41.562756
100,with_eve,15,0.23076923076923078,2025-05-12T17:46:41.635785
100,with_eve,16,0.30434782608695654,2025-05-12T17:46:41.703779
100,with_eve,17,0.2608695652173913,2025-05-12T17:46:41.774099
100,with_eve,18,0.36,2025-05-12T17:46:41.838966
100,with_eve,19,0.2916666666666667,2025-05-12T17:46:41.904682
100,with_eve,20,0.20833333333333334,2025-05-12T17:46:41.973047
500,no_eve,1,0.0,2025-05-12T17:46:42.137416
500,no_eve,2,0.0,2025-05-12T17:46:42.296499
500,no_eve,3,0.0,2025-05-12T17:46:42.458813
500,no_eve,4,0.0,2025-05-12T17:47:02.755343
500,no_eve,5,0.0,2025-05-12T17:47:02.924851
500,no_eve,6,0.0,2025-05-12T17:47:03.084049
500,no_eve,7,0.0,2025-05-12T17:47:03.236112
500,no_eve,8,0.0,2025-05-12T17:47:03.397440
500,no_eve,9,0.0,2025-05-12T17:47:03.541162
500,no_eve,10,0.0,2025-05-12T17:47:03.704260
500,no_eve,11,0.0,2025-05-12T17:47:03.876939
500,no_eve,12,0.0,2025-05-12T17:47:04.042471
500,no_eve,13,0.0,2025-05-12T17:47:04.204960
500,no_eve,14,0.0,2025-05-12T17:47:04.358716
500,no_eve,15,0.0,2025-05-12T17:47:04.524266
500,no_eve,16,0.0,2025-05-12T17:47:04.697265
500,no_eve,17,0.0,2025-05-12T17:47:04.862599
500,no_eve,18,0.0,2025-05-12T17:47:05.023740
500,no_eve,19,0.0,2025-05-12T17:47:05.179895
500,no_eve,20,0.0,2025-05-12T17:47:05.336774
500,with_eve,1,0.1,2025-05-12T17:47:05.665154
500,with_eve,2,0.32,2025-05-12T17:47:06.114215
500,with_eve,3,0.3,2025-05-12T17:47:06.436784
500,with_eve,4,0.24,2025-05-12T17:47:06.773773
500,with_eve,5,0.26,2025-05-12T17:47:07.104187
500,with_eve,6,0.2,2025-05-12T17:47:07.428015
500,with_eve,7,0.34,2025-05-12T17:47:07.733333
500,with_eve,8,0.26,2025-05-12T17:47:08.098684
500,with_eve,9,0.24,2025-05-12T17:47:08.531877
500,with_eve,10,0.24,2025-05-12T17:47:08.890003
500,with_eve,11,0.26,2025-05-12T17:47:09.345409
500,with_eve,12,0.22,2025-05-12T17:47:09.725569
500,with_eve,13,0.3,2025-05-12T17:47:10.056258
500,with_eve,14,0.32,2025-05-12T17:47:10.388807
500,with_eve,15,0.22,2025-05-12T17:47:10.761701
500,with_eve,16,0.24,2025-05-12T17:47:11.110760
500,with_eve,17,0.22,2025-05-12T17:47:11.464656
500,with_eve,18,0.3,2025-05-12T17:47:11.810943
500,with_eve,19,0.26,2025-05-12T17:47:12.163656
500,with_eve,20,0.2,2025-05-12T17:47:12.631984
1000,no_eve,1,0.0,2025-05-12T17:47:12.970916
1000,no_eve,2,0.0,2025-05-12T17:47:13.298814
1000,no_eve,3,0.0,2025-05-12T17:47:13.622129
1000,no_eve,4,0.0,2025-05-12T17:47:13.956529
1000,no_eve,5,0.0,2025-05-12T17:47:14.284723
